SEARCH_ORIGIN_CITY,SEARCH_DESTINATION_CITY,MONTH,WINDOW
AAH,ALC,1,66.89
AAH,ALC,2,40.2
AAH,ALC,3,31.0
AAH,ALC,4,80.5
AAH,ALC,5,14.0
AAH,ALC,6,58.62
AAH,ALC,7,19.33
AAH,ALC,8,120.8
AAH,ALC,9,56.67
AAH,ALC,10,9.17
AAH,CDT,7,1.0
AAH,VLC,1,107.74
AAH,VLC,2,17.38
AAH,VLC,3,21.23
AAH,VLC,4,47.5
AAH,VLC,5,32.57
AAH,VLC,6,1.0
AAH,VLC,7,73.53
AAH,VLC,8,25.73
AAH,VLC,9,18.25
AAH,VLC,10,43.33
AAL,ALC,1,104.16
AAL,ALC,2,95.18
AAL,ALC,3,84.18
AAL,ALC,4,76.24
AAL,ALC,5,64.69
AAL,ALC,6,51.14
AAL,ALC,7,41.26
AAL,ALC,8,64.17
AAL,ALC,9,61.13
AAL,ALC,10,76.47
AAL,ALC,11,107.27
AAL,ALC,12,103.3
AAL,CDT,1,51.92
AAL,CDT,2,38.11
AAL,CDT,3,49.58
AAL,CDT,4,66.82
AAL,CDT,5,60.36
AAL,CDT,6,47.61
AAL,CDT,7,61.18
AAL,CDT,8,31.4
AAL,CDT,9,49.98
AAL,CDT,10,66.68
AAL,CDT,11,166.86
AAL,CDT,12,86.6
AAL,VLC,1,87.7
AAL,VLC,2,71.03
AAL,VLC,3,70.31
AAL,VLC,4,68.63
AAL,VLC,5,59.87
AAL,VLC,6,48.78
AAL,VLC,7,47.79
AAL,VLC,8,65.03
AAL,VLC,9,50.55
AAL,VLC,10,62.55
AAL,VLC,11,74.49
AAL,VLC,12,82.53
AAR,ALC,1,94.98
AAR,ALC,2,94.85
AAR,ALC,3,84.1
AAR,ALC,4,73.86
AAR,ALC,5,59.78
AAR,ALC,6,53.48
AAR,ALC,7,39.2
AAR,ALC,8,65.09
AAR,ALC,9,55.38
AAR,ALC,10,60.28
AAR,ALC,11,78.05
AAR,ALC,12,85.81
AAR,CDT,1,42.52
AAR,CDT,2,27.45
AAR,CDT,3,47.58
AAR,CDT,4,64.41
AAR,CDT,5,48.26
AAR,CDT,6,42.12
AAR,CDT,7,64.97
AAR,CDT,8,38.84
AAR,CDT,9,53.56
AAR,CDT,10,47.25
AAR,CDT,11,118.91
AAR,CDT,12,66.0
AAR,VLC,1,82.77
AAR,VLC,2,71.91
AAR,VLC,3,60.76
AAR,VLC,4,56.43
AAR,VLC,5,52.77
AAR,VLC,6,46.59
AAR,VLC,7,41.36
AAR,VLC,8,63.06
AAR,VLC,9,47.19
AAR,VLC,10,42.89
AAR,VLC,11,59.44
AAR,VLC,12,62.68
AAT,ALC,3,83.0
AAT,ALC,5,57.0
AAT,ALC,6,201.0
AAT,CDT,4,64.17
AAT,CDT,6,154.5
AAT,CDT,7,52.29
AAT,VLC,1,1.0
AAT,VLC,2,8.17
AAT,VLC,3,7.33
AAT,VLC,4,85.93
AAT,VLC,5,74.17
AAT,VLC,6,61.13
AAT,VLC,7,74.2
AAT,VLC,8,66.56
AAT,VLC,9,12.0
ABC,ALC,1,47.43
ABC,ALC,2,22.0
ABC,ALC,3,29.88
